playerOne,playerTwo,playerOneSeed,playerTwoSeed,winner,totalMoves,playerOneMs,playerTwoMs
random,minimax-d4-a-baseline,124181658,194452094,minimax-d4-a-baseline,8,0.6175999999999999,10.3886
minimax-d4-a-baseline,random,1164587168,1335033705,minimax-d4-a-baseline,9,9.476600000000001,0.0029
random,minimax-d4-a-baseline,969174007,2141994494,minimax-d4-a-baseline,22,0.018000000000000002,25.649399999999996
minimax-d4-a-baseline,random,510971817,1743298043,minimax-d4-a-baseline,9,7.9458,0.0038
random,minimax-d4-a-baseline,1379824064,715386377,minimax-d4-a-baseline,8,0.0089,8.8131
minimax-d4-a-baseline,random,386251914,1101177462,minimax-d4-a-baseline,17,27.2618,0.0081
random,minimax-d4-a-baseline,115255914,1132787546,minimax-d4-a-baseline,16,0.0084,14.0734
minimax-d4-a-baseline,random,1290240512,1117288873,minimax-d4-a-baseline,13,14.4613,0.0165
random,minimax-d4-a-baseline,258647090,887773165,minimax-d4-a-baseline,16,0.013399999999999999,22.911999999999995
minimax-d4-a-baseline,random,2013626870,1554578061,minimax-d4-a-baseline,9,8.0945,0.0046
random,minimax-d4-a-baseline,2030733355,250062452,minimax-d4-a-baseline,20,0.0232,16.4478
minimax-d4-a-baseline,random,1257109254,2129363890,minimax-d4-a-baseline,7,7.840200000000001,0.0021000000000000003
random,minimax-d4-a-baseline,74001513,2079553144,minimax-d4-a-baseline,16,0.0045,19.2107
minimax-d4-a-baseline,random,1104942554,2092146786,minimax-d4-a-baseline,7,6.8346,0.0016
random,minimax-d4-a-baseline,168764022,806781016,minimax-d4-a-baseline,8,0.0018999999999999998,7.924900000000001
minimax-d4-a-baseline,random,1030739847,2066845463,minimax-d4-a-baseline,9,8.4807,0.0155
random,minimax-d4-a-baseline,1798643930,1004413183,minimax-d4-a-baseline,18,0.004200000000000001,22.900399999999998
minimax-d4-a-baseline,random,253613987,114180969,minimax-d4-a-baseline,15,16.293400000000002,0.0029
random,minimax-d4-a-baseline,1692729128,1275792555,minimax-d4-a-baseline,12,0.0022,10.696100000000001
minimax-d4-a-baseline,random,928594769,1022535903,minimax-d4-a-baseline,7,8.1534,0.0023
random,minimax-d4-a-baseline,1963031730,1942800589,minimax-d4-a-baseline,14,0.0031999999999999997,13.242799999999997
minimax-d4-a-baseline,random,418895629,924658351,minimax-d4-a-baseline,11,14.459100000000001,0.0034999999999999996
