positionNumber,stage,seed,chosenColumn,illegal,agreement,regret,resultPreserved,speedRegret,decisionMs,nodes
0,Beginning,0,4,False,True,0,True,0,31.4093,
0,Beginning,1,4,False,True,0,True,0,25.1963,
0,Beginning,2,4,False,True,0,True,0,39.4677,
0,Beginning,3,4,False,True,0,True,0,24.2089,
0,Beginning,4,4,False,True,0,True,0,34.528,
1,Beginning,0,3,False,True,0,True,0,49.6265,
1,Beginning,1,3,False,True,0,True,0,37.1865,
1,Beginning,2,3,False,True,0,True,0,41.1558,
1,Beginning,3,3,False,True,0,True,0,43.1698,
1,Beginning,4,3,False,True,0,True,0,36.6392,
2,Beginning,0,5,False,True,0,True,0,32.3378,
2,Beginning,1,5,False,True,0,True,0,37.0582,
2,Beginning,2,5,False,True,0,True,0,33.6896,
2,Beginning,3,5,False,True,0,True,0,32.8655,
2,Beginning,4,5,False,True,0,True,0,31.9883,
3,Beginning,0,6,False,True,0,True,0,42.6952,
3,Beginning,1,6,False,True,0,True,0,37.9857,
3,Beginning,2,6,False,True,0,True,0,41.4217,
3,Beginning,3,6,False,True,0,True,0,49.4003,
3,Beginning,4,6,False,True,0,True,0,39.8116,
4,Beginning,0,5,False,True,0,True,0,54.0981,
4,Beginning,1,2,False,True,0,True,0,49.381,
4,Beginning,2,5,False,True,0,True,0,48.766,
4,Beginning,3,5,False,True,0,True,0,51.9947,
4,Beginning,4,5,False,True,0,True,0,47.4405,
5,Beginning,0,2,False,True,0,True,0,34.2867,
5,Beginning,1,4,False,True,0,True,0,37.387,
5,Beginning,2,4,False,True,0,True,0,40.9822,
5,Beginning,3,2,False,True,0,True,0,43.4902,
5,Beginning,4,2,False,True,0,True,0,35.1208,
6,Beginning,0,3,False,False,2,False,,47.8718,
6,Beginning,1,3,False,False,2,False,,48.7879,
6,Beginning,2,3,False,False,2,False,,46.5195,
6,Beginning,3,3,False,False,2,False,,47.4145,
6,Beginning,4,3,False,False,2,False,,39.516,
7,Beginning,0,4,False,True,0,True,0,25.5395,
7,Beginning,1,4,False,True,0,True,0,32.6351,
7,Beginning,2,4,False,True,0,True,0,27.8314,
7,Beginning,3,4,False,True,0,True,0,26.0885,
7,Beginning,4,4,False,True,0,True,0,32.4164,
8,Beginning,0,2,False,True,0,True,0,28.5012,
