config,iterations,explorationConstant,stage,positions,agreementRate,meanRegret,meanSpeedRegret,meanDecisionMs,p95DecisionMs,maxDecisionMs
mcts-i5000-c0.70,5000,0.7,Beginning,210,0.741904761904762,0.780952380952381,0.37526881720430105,38.43927380952379,54.6938,66.6934
mcts-i5000-c0.70,5000,0.7,Middle,140,0.89,0.31,0.16366366366366367,26.501284714285706,40.3429,53.7286
mcts-i5000-c0.70,5000,0.7,End,70,0.9514285714285714,0.08285714285714285,0.08285714285714285,12.567090285714292,20.2959,31.1054
mcts-i5000-c1.41,5000,1.41421356237,Beginning,210,0.7676190476190476,0.6028571428571429,0.24115755627009647,38.43714057142854,52.8828,68.6284
mcts-i5000-c1.41,5000,1.41421356237,Middle,140,0.8928571428571429,0.3028571428571429,0.11312217194570136,26.79483714285715,38.0951,50.0437
mcts-i5000-c1.41,5000,1.41421356237,End,70,0.9685714285714285,0.04857142857142857,0.04857142857142857,14.587346000000004,26.0055,44.0113
mcts-i5000-c2.00,5000,2,Beginning,210,0.7561904761904762,0.699047619047619,0.3181818181818182,38.37834942857143,52.4361,73.8251
mcts-i5000-c2.00,5000,2,Middle,140,0.9,0.32142857142857145,0.11394302848575712,28.125379285714292,41.316,68.8259
mcts-i5000-c2.00,5000,2,End,70,0.9714285714285714,0.04285714285714286,0.04285714285714286,13.67362657142858,23.5824,30.7723
mcts-i20000-c0.70,20000,0.7,Beginning,210,0.7704761904761904,0.64,0.3040254237288136,158.94325600000013,222.665,263.1223
mcts-i20000-c0.70,20000,0.7,Middle,140,0.9257142857142857,0.18714285714285714,0.13848396501457727,114.58549885714277,183.4571,268.8297
mcts-i20000-c0.70,20000,0.7,End,70,0.9428571428571428,0.10285714285714286,0.10285714285714286,52.57526628571429,84.9642,116.5868
mcts-i20000-c1.41,20000,1.41421356237,Beginning,210,0.7504761904761905,0.6666666666666666,0.31449893390191896,163.5780314285715,227.861,281.6592
mcts-i20000-c1.41,20000,1.41421356237,Middle,140,0.8942857142857142,0.3142857142857143,0.16292974588938713,115.88155314285709,171.9687,203.1104
mcts-i20000-c1.41,20000,1.41421356237,End,70,0.94,0.1,0.1,50.69237999999994,81.4162,111.4966
mcts-i20000-c2.00,20000,2,Beginning,210,0.7523809523809524,0.6952380952380952,0.3086021505376344,163.66941247619042,219.0073,253.4339
mcts-i20000-c2.00,20000,2,Middle,140,0.8828571428571429,0.3142857142857143,0.1443609022556391,120.43830357142868,178.6807,242.4937
mcts-i20000-c2.00,20000,2,End,70,0.96,0.06571428571428571,0.06571428571428571,51.161027428571394,91.325,132.1364
mcts-i40000-c0.70,40000,0.7,Beginning,210,0.7866666666666666,0.5571428571428572,0.24526315789473685,323.98859942857143,460.0554,563.6374
mcts-i40000-c0.70,40000,0.7,Middle,140,0.9342857142857143,0.12714285714285714,0.10595065312046444,243.57695914285702,406.7429,492.4825
mcts-i40000-c0.70,40000,0.7,End,70,0.94,0.10857142857142857,0.10857142857142857,98.33654400000006,150.1762,192.9909
mcts-i40000-c1.41,40000,1.41421356237,Beginning,210,0.7628571428571429,0.6295238095238095,0.3020063357972545,346.33807399999984,472.741,678.5138
mcts-i40000-c1.41,40000,1.41421356237,Middle,140,0.9257142857142857,0.18,0.14723032069970846,224.2902231428575,364.7767,510.4623
mcts-i40000-c1.41,40000,1.41421356237,End,70,0.9457142857142857,0.08857142857142856,0.08857142857142856,34.636765142857115,51.9912,84.1173
mcts-i40000-c2.00,40000,2,Beginning,210,0.7561904761904762,0.6666666666666666,0.30128205128205127,134.19323228571417,182.3975,224.6345
mcts-i40000-c2.00,40000,2,Middle,140,0.8971428571428571,0.28285714285714286,0.15797317436661698,95.43070800000005,141.0593,179.0878
mcts-i40000-c2.00,40000,2,End,70,0.9371428571428572,0.10285714285714286,0.10285714285714286,37.73022314285717,59.2681,92.1704
