positionNumber,stage,seed,chosenColumn,illegal,agreement,regret,resultPreserved,speedRegret,decisionMs,nodes
0,Beginning,2891,4,False,True,0,True,0,1.8182,7
1,Beginning,2891,3,False,True,0,True,0,0.0325,7
2,Beginning,2891,5,False,True,0,True,0,0.0271,7
3,Beginning,2891,6,False,True,0,True,0,0.0251,7
4,Beginning,2891,5,False,True,0,True,0,0.0241,7
5,Beginning,2891,2,False,True,0,True,0,0.0268,7
6,Beginning,2891,3,False,False,2,False,,0.0255,7
7,Beginning,2891,4,False,True,0,True,0,0.0271,7
8,Beginning,2891,2,False,True,0,True,0,0.0273,7
9,Beginning,2891,1,False,True,0,True,0,0.0226,7
10,Beginning,2891,1,False,True,0,True,0,0.0231,7
11,Beginning,2891,3,False,True,0,True,0,0.0247,7
12,Beginning,2891,4,False,False,3,True,3,0.0274,7
13,Beginning,2891,2,False,True,0,True,0,0.0242,7
14,Beginning,2891,3,False,False,2,False,,0.0216,7
15,Beginning,2891,3,False,True,0,True,0,0.0246,7
16,Beginning,2891,3,False,False,22,False,,0.0267,7
17,Beginning,2891,4,False,False,12,False,,0.0261,7
18,Beginning,2891,2,False,True,0,True,0,0.0252,7
19,Beginning,2891,4,False,True,0,True,0,0.024,7
20,Beginning,2891,2,False,True,0,True,0,0.0271,7
21,Beginning,2891,0,False,False,3,True,3,0.0238,7
22,Beginning,2891,3,False,True,0,True,0,0.0266,7
23,Beginning,2891,3,False,True,0,True,0,0.0252,7
24,Beginning,2891,4,False,False,2,False,,0.0232,7
25,Beginning,2891,4,False,True,0,True,0,0.025,7
26,Beginning,2891,3,False,True,0,True,0,0.0241,7
27,Beginning,2891,4,False,True,0,True,0,0.0239,7
28,Beginning,2891,5,False,False,10,True,10,0.0265,7
29,Beginning,2891,3,False,True,0,True,0,0.0227,7
30,Beginning,2891,3,False,False,14,False,,0.0257,7
31,Beginning,2891,4,False,True,0,True,0,0.0235,6
32,Beginning,2891,4,False,False,24,False,,0.0248,7
33,Beginning,2891,3,False,True,0,True,0,0.0234,7
34,Beginning,2891,4,False,False,2,False,,0.0245,7
35,Beginning,2891,3,False,False,2,False,,0.0233,7
36,Beginning,2891,6,False,True,0,True,0,0.0258,7
37,Beginning,2891,2,False,True,0,True,0,0.0243,7
38,Beginning,2891,3,False,False,7,True,7,0.0262,7
39,Beginning,2891,1,False,True,0,True,0,0.0268,7
40,Beginning,2891,3,False,False,9,True,9,0.0255,7
41,Beginning,2891,3,False,True,0,True,0,0.076,7
42,Beginning,2891,6,False,False,1,True,1,0.0253,7
43,Beginning,2891,3,False,True,0,True,0,0.025,7
44,Beginning,2891,2,False,True,0,True,0,0.0256,7
45,Beginning,2891,1,False,True,0,True,0,0.0257,7
46,Beginning,2891,2,False,True,0,True,0,0.0257,7
47,Beginning,2891,2,False,False,2,True,2,0.0244,7
48,Beginning,2891,3,False,True,0,True,0,0.0236,7
49,Beginning,2891,1,False,False,2,False,,0.0245,7
50,Beginning,2891,1,False,True,0,True,0,0.0292,7
51,Beginning,2891,2,False,True,0,True,0,0.0228,7
52,Beginning,2891,6,False,False,3,False,,0.0247,7
53,Beginning,2891,4,False,False,4,True,4,0.024,7
54,Beginning,2891,3,False,True,0,True,0,0.0254,7
55,Beginning,2891,1,False,True,0,True,0,0.026,7
56,Beginning,2891,5,False,True,0,True,0,0.0241,7
57,Beginning,2891,3,False,False,1,True,1,0.0246,7
58,Beginning,2891,6,False,False,1,True,1,0.023,7
59,Beginning,2891,2,False,False,3,False,,0.0238,7
60,Beginning,2891,5,False,False,3,False,,0.0243,7
61,Beginning,2891,2,False,True,0,True,0,0.025,7
62,Beginning,2891,4,False,True,0,True,0,0.0248,7
63,Beginning,2891,4,False,True,0,True,0,0.0263,7
64,Beginning,2891,1,False,True,0,True,0,0.0244,7
65,Beginning,2891,6,False,True,0,True,0,0.027,7
66,Beginning,2891,3,False,True,0,True,0,0.0311,7
67,Beginning,2891,4,False,False,1,True,1,0.0261,7
68,Beginning,2891,4,False,False,10,False,,0.0269,7
69,Beginning,2891,1,False,True,0,True,0,0.0245,7
70,Beginning,2891,3,False,True,0,True,0,0.0249,7
71,Beginning,2891,4,False,True,0,True,0,0.0246,7
72,Beginning,2891,4,False,False,10,True,10,0.0237,7
73,Beginning,2891,3,False,False,6,False,,0.0252,7
74,Beginning,2891,5,False,True,0,True,0,0.0254,7
75,Beginning,2891,2,False,True,0,True,0,0.0244,7
76,Beginning,2891,2,False,True,0,True,0,0.024,7
77,Beginning,2891,2,False,False,9,True,9,0.0241,7
78,Beginning,2891,3,False,True,0,True,0,0.0224,7
79,Beginning,2891,4,False,True,0,True,0,0.023,7
80,Beginning,2891,4,False,False,12,True,12,0.0247,7
81,Beginning,2891,4,False,True,0,True,0,0.0262,7
82,Beginning,2891,3,False,True,0,True,0,0.0242,7
83,Beginning,2891,3,False,False,14,False,,0.0241,7
84,Beginning,2891,2,False,True,0,True,0,0.0235,7
85,Beginning,2891,6,False,True,0,True,0,0.0254,7
86,Beginning,2891,1,False,True,0,True,0,0.025,7
87,Beginning,2891,2,False,False,4,False,,0.0253,7
