positionNumber,stage,seed,chosenColumn,illegal,agreement,regret,resultPreserved,speedRegret,decisionMs,nodes
0,Beginning,2891,4,False,True,0,True,0,1.1026,610
1,Beginning,2891,3,False,True,0,True,0,0.8615,431
2,Beginning,2891,5,False,True,0,True,0,0.8986,563
3,Beginning,2891,6,False,True,0,True,0,2.9961,1588
4,Beginning,2891,2,False,True,0,True,0,2.0657,1075
5,Beginning,2891,4,False,True,0,True,0,2.877,1023
6,Beginning,2891,3,False,False,2,False,,1.5886,832
7,Beginning,2891,4,False,True,0,True,0,1.9487,980
8,Beginning,2891,2,False,True,0,True,0,1.0527,607
9,Beginning,2891,4,False,True,0,True,0,2.1282,986
10,Beginning,2891,2,False,False,3,False,,1.6773,869
11,Beginning,2891,3,False,True,0,True,0,1.3079,736
12,Beginning,2891,3,False,False,2,True,2,1.4846,802
13,Beginning,2891,2,False,True,0,True,0,1.5564,774
14,Beginning,2891,3,False,False,2,False,,1.8695,834
15,Beginning,2891,3,False,True,0,True,0,1.0414,625
16,Beginning,2891,2,False,False,11,False,,1.0498,710
17,Beginning,2891,2,False,False,12,False,,1.7512,917
18,Beginning,2891,2,False,True,0,True,0,1.3974,757
19,Beginning,2891,4,False,True,0,True,0,1.5047,814
20,Beginning,2891,2,False,True,0,True,0,1.1285,680
21,Beginning,2891,0,False,False,3,True,3,2.0782,1106
22,Beginning,2891,3,False,True,0,True,0,0.9543,525
23,Beginning,2891,3,False,True,0,True,0,0.8215,478
24,Beginning,2891,4,False,False,2,False,,1.684,895
25,Beginning,2891,4,False,True,0,True,0,2.267,916
26,Beginning,2891,3,False,True,0,True,0,1.1508,564
27,Beginning,2891,4,False,True,0,True,0,1.9498,837
28,Beginning,2891,3,False,True,0,True,0,0.7824,433
29,Beginning,2891,3,False,True,0,True,0,0.8601,469
30,Beginning,2891,1,False,True,0,True,0,1.673,934
31,Beginning,2891,4,False,True,0,True,0,1.0868,616
32,Beginning,2891,5,False,True,0,True,0,1.2612,785
