config,depth,weightGroup,stage,positions,agreementRate,meanRegret,meanSpeedRegret,meanDecisionMs,p95DecisionMs,maxDecisionMs,meanNodes
minimax-d1-a-baseline,1,a-baseline,Beginning,210,0.6428571428571429,2.0428571428571427,1,0.035435714285714286,0.0419,1.8182,6.995238095238095
minimax-d1-a-baseline,1,a-baseline,Middle,140,0.65,2.257142857142857,0.6216216216216216,0.02527428571428571,0.0289,0.0686,6.192857142857143
minimax-d1-a-baseline,1,a-baseline,End,70,0.8714285714285714,0.5142857142857142,0.0625,0.01771714285714286,0.0308,0.045,3.342857142857143
minimax-d1-b-attacking,1,b-attacking,Beginning,210,0.5666666666666667,3.0047619047619047,1.3952095808383234,0.036884761904761906,0.0524,0.0659,6.995238095238095
minimax-d1-b-attacking,1,b-attacking,Middle,140,0.5142857142857142,3.3857142857142857,1.3142857142857143,0.028571428571428564,0.0491,0.0778,6.192857142857143
minimax-d1-b-attacking,1,b-attacking,End,70,0.7,1.1857142857142857,0.2982456140350877,0.01591571428571428,0.0228,0.0495,3.342857142857143
minimax-d1-c-defensive,1,c-defensive,Beginning,210,0.7047619047619048,1.2285714285714286,0.6067415730337079,0.02857142857142858,0.0446,0.0852,6.995238095238095
minimax-d1-c-defensive,1,c-defensive,Middle,140,0.7428571428571429,1.6285714285714286,0.5462184873949579,0.0341092857142857,0.0528,0.0647,6.192857142857143
minimax-d1-c-defensive,1,c-defensive,End,70,0.9,0.35714285714285715,0.06060606060606061,0.01937,0.0381,0.0599,3.342857142857143
minimax-d1-d-no-positional-weights,1,d-no-positional-weights,Beginning,210,0.638095238095238,1.9428571428571428,0.8304093567251462,0.0329209523809524,0.0573,0.2168,6.995238095238095
minimax-d1-d-no-positional-weights,1,d-no-positional-weights,Middle,140,0.6785714285714286,2.1714285714285713,0.5135135135135135,0.04169857142857142,0.0634,0.0683,6.192857142857143
minimax-d1-d-no-positional-weights,1,d-no-positional-weights,End,70,0.8714285714285714,0.5142857142857142,0.0625,0.025891428571428576,0.062,0.0803,3.342857142857143
minimax-d4-a-baseline,4,a-baseline,Beginning,210,0.7666666666666667,1.0523809523809524,0.35911602209944754,2.1952204761904754,3.5864,5.4084,884.1333333333333
minimax-d4-a-baseline,4,a-baseline,Middle,140,0.8571428571428571,0.65,0.15748031496062992,1.2435614285714285,2.6336,3.5485,550.2071428571429
minimax-d4-a-baseline,4,a-baseline,End,70,0.9714285714285714,0.02857142857142857,0.014492753623188406,0.14086142857142853,0.4258,1.0508,77.34285714285714
minimax-d4-b-attacking,4,b-attacking,Beginning,210,0.7142857142857143,1.1714285714285715,0.4550561797752809,2.1795395238095248,3.764,7.1133,887.2714285714286
minimax-d4-b-attacking,4,b-attacking,Middle,140,0.8357142857142857,0.5785714285714286,0.21875,1.1354857142857149,2.4156,3.2609,550.6571428571428
minimax-d4-b-attacking,4,b-attacking,End,70,0.9714285714285714,0.02857142857142857,0.014492753623188406,0.1173585714285714,0.3858,0.6249,77.14285714285714
minimax-d4-c-defensive,4,c-defensive,Beginning,210,0.7333333333333333,1.0666666666666667,0.4725274725274725,2.142945714285714,3.373,6.3008,911.3952380952381
minimax-d4-c-defensive,4,c-defensive,Middle,140,0.8714285714285714,0.5714285714285714,0.09375,1.1176835714285716,2.1581,3.386,560.4285714285714
minimax-d4-c-defensive,4,c-defensive,End,70,0.9714285714285714,0.02857142857142857,0.014492753623188406,0.12365714285714287,0.4212,0.7574,78.44285714285714
minimax-d4-d-no-positional-weights,4,d-no-positional-weights,Beginning,210,0.7476190476190476,1.119047619047619,0.4585635359116022,1.7034599999999995,2.877,3.7624,880.8666666666667
minimax-d4-d-no-positional-weights,4,d-no-positional-weights,Middle,140,0.85,0.6571428571428571,0.16535433070866143,0.9458992857142858,1.9549,2.8527,547
